#,Tool,Card,Title,Open at,GitHub issue,Current status banner,Review priority,What to check first,Written from (source),guidelines.js row,REVIEWER (fill in),DATE REVIEWED (fill in),DECISION: approve / approve-with-edits / rewrite,EDITS REQUIRED (fill in),Banner removed? Y/N
1,codes,c36,Toxicology Crash Card,/codes/#c36,87,DRAFT — NOT CLINICALLY REVIEWED,1 — drug doses,"Naloxone infusion rate; sodium bicarb for wide QRS; high-dose insulin euglycemic therapy; lipid emulsion. Four separate antidote regimens, each rarely given.",AHA 2023 poisoning focused update (Circulation 2023;148:e149-e184),aha-poisoning,,,,, 
2,codes,c34,Severe Alcohol Withdrawal / DTs,/codes/#c34,94,DRAFT — NOT CLINICALLY REVIEWED,1 — drug doses,"Phenobarbital-vs-benzodiazepine escalation, and the dose at each rung. Commonly fumbled and easy to under-treat.",ASAM Alcohol Withdrawal Management (2020),asam-withdrawal,,,,, 
3,codes,c31,Adult DKA / HHS,/codes/#c31,90,DRAFT — NOT CLINICALLY REVIEWED,1 — drug doses,"Insulin start, the potassium gate before insulin, fluid sequencing, and when to switch fluids. Sequencing errors here are the harmful ones.",ADA/EASD hyperglycemic crises consensus (Diabetes Care 2024),ada-hyperglycemic,,,,, 
4,codes,c30,Severe Agitation (Adult),/codes/#c30,89,DRAFT — NOT CLINICALLY REVIEWED,1 — drug doses,Ketamine and droperidol doses and routes; required monitoring after sedation; restraint documentation.,ACEP policies incl. hyperactive delirium task force 2021,acep-policies,,,,, 
5,codes,c28,Sepsis / Septic Shock,/codes/#c28,85,DRAFT — NOT CLINICALLY REVIEWED,1 — drug doses,"Bundle timing; peripheral vasopressor start, concentration and duration limit for a shop that may not place a CVC quickly.",Surviving Sepsis Campaign 2021 (Crit Care Med 2021;49:e1063),ssc-sepsis,,,,, 
6,neonatal,(whole tool),Newborn resuscitation engine,/neonatal/,—,Review banner up; guidelines.js nrp reconciled:false,2 — whole tool rides on it,"Doses, the SpO2 target table, the compression ratio and the airway sizes were carried unchanged from retired ob-neonatal card 03, which carried no citation. Never checked line-by-line against NRP 9th edition.",NRP 9th edition; 2025 AHA/AAP Part 5 (aligned items are named in its SOURCE & PROVENANCE panel),nrp,,,,, 
7,peds,p16,Airway Equipment Sizes,/peds/#p16,—,REVIEWED — approved 2026-08-18; no draft banner required,2 — live without a banner,"Cuffed ETT / depth / blade / supraglottic / suction size for all nine Broselow drawers, plus the age cross-check. TWO questions: is the formula right, AND does that drawer actually hold that size (a cart walk).",AHA PALS 2020 (Circulation 2020;142:S469); Khine cuffed formula; Walls 6th ed,walls-airway; aha-ecc-peds,"Lon Setnik, MD",2026-08-18,approve,, 
8,neonatal,(airway ladder),Mask + ETT suction columns,/neonatal/,—,REVIEWED — approved 2026-08-18; no draft banner required,2 — live without a banner,Mask size (0 preterm / 1 term) and ETT suction catheter size per weight band.,NRP equipment checklist,nrp,"Lon Setnik, MD",2026-08-18,approve,, 
9,ob-neonatal,(equipment panel),MASK + ETT SUCTION tiles,/ob-neonatal/#c04,—,REVIEWED — approved 2026-08-18; no draft banner required,2 — live without a banner,"Mask and suction sizes by weight/gestation band, shown next to the code-dose epinephrine.",NRP equipment checklist,nrp,"Lon Setnik, MD",2026-08-18,approve,, 
10,ob-neonatal,c11,Eclampsia / Severe Preeclampsia,/ob-neonatal/#c11,84,DRAFT — NOT CLINICALLY REVIEWED,3 — high-acuity,Magnesium load and infusion rate; magnesium toxicity rescue (calcium); BP agent choice and targets; the delivery decision.,ACOG PB 222 (2020) / CO 767,acog-htn,,,,, 
11,codes,c29,Massive Pulmonary Embolism,/codes/#c29,86,DRAFT — NOT CLINICALLY REVIEWED,3 — high-acuity,"Thrombolytic agent, dose and the contraindication list; the half-dose question; what to do in PE arrest.",ESC 2019 acute PE,esc-pe,,,,, 
12,codes,c27,Accidental Hypothermia,/codes/#c27,88,DRAFT — NOT CLINICALLY REVIEWED,3 — high-acuity,Rewarming ladder by stage; when NOT to declare death; the ECMO/transfer trigger and who to call.,WMS hypothermia 2019 update; ERC special circumstances,wms; erc,,,,, 
13,codes,c32,Aortic Catastrophe,/codes/#c32,91,DRAFT — NOT CLINICALLY REVIEWED,3 — high-acuity,"Anti-impulse targets (HR then BP), agent order, and the transfer call timing.",ACC/AHA aortic disease 2022,acc-aha-acs,,,,, 
14,codes,c35,Transfusion Reaction,/codes/#c35,95,DRAFT — NOT CLINICALLY REVIEWED,4,Stop-the-unit sequence; which reaction types allow restarting; what goes back to the blood bank.,AABB Technical Manual; CDC,aabb-transfusion,,,,, 
15,codes,c33,Heat Stroke,/codes/#c33,92,DRAFT — NOT CLINICALLY REVIEWED,4,"Cooling method and rate; the stop-cooling endpoint temperature; what NOT to give (antipyretics, dantrolene).",WMS heat illness 2019 update,wms,,,,, 
16,trauma,c10,Electrical & Lightning Injury,/trauma/#c10,96,DRAFT — NOT CLINICALLY REVIEWED,4,The reverse-triage claim for lightning MCI; monitoring duration for low- vs high-voltage; rhabdomyolysis threshold.,WMS lightning 2014 update; ABA referral criteria,wms; aba-burn,,,,, 
17,trauma,c11,Hazmat / Contaminated Patient,/trauma/#c11,124,DRAFT — NOT CLINICALLY REVIEWED,4,"Atropine titration endpoint and absence of a max dose; pralidoxime dose; hydroxocobalamin; the elemental-metal no-water exception. PLUS local facts: where decon happens, PPE stock, hazmat team.",CHEMM / REMM (HHS ASPR); ATSDR agent guidelines,chemm-remm,,,,, 
18,trauma,c09,MCI — First 15 Minutes,/trauma/#c09,93,DRAFT — NOT CLINICALLY REVIEWED,5 — blocked on local facts,START triage cutoffs and zone plan. ALSO BLOCKED: the real call tree (names/numbers) and the designated zones are still blank placeholders.,START/SALT triage per CHEMM; ACS-COT disaster resources,chemm-remm,,,,, 
